id,posto_id,tipo,valor,created_at,updated_at
834,255,ETANOL,"R$ 3,37",2020-06-04 19:26:16+00,2020-06-27 05:46:18+00
695,217,ETANOL," R$ 2,97",2020-05-28 16:20:52+00,2020-06-11 00:46:47+00
339,83,GASOLINA COMUM,"R$ 4,23",2020-05-17 14:25:21+00,2020-07-05 00:12:00+00
465,157,DIESEL S 500 BICO,"R$ 3,10",2020-05-21 18:31:01+00,2020-06-27 10:16:51+00
707,153,ETANOL,"R$ 2,99",2020-05-28 16:20:52+00,2020-06-11 00:46:48+00
288,12,GASOLINA COMUM,"R$ 4,20",2020-05-13 15:17:23+00,2020-07-13 00:11:52+00
410,109,DIESEL S,"R$ 3,10",2020-05-21 15:31:00+00,2020-06-27 10:16:51+00
479,157,OLEO DIESEL S 10 BICO,"R$ 3,20",2020-05-21 18:31:01+00,2020-06-27 10:16:51+00
464,156,DIESEL S 5 0 0 BICO,"R$ 3,23",2020-05-21 18:31:01+00,2020-06-27 10:16:51+00
481,172,OLEO DIESEL B S500 BICO,"R$ 3,29",2020-05-21 18:31:02+00,2020-06-27 10:16:51+00
344,7,GNV,"R$ 2,73",2020-05-19 13:33:49+00,2020-06-27 12:02:08+00
692,178,ETANOL,"R$ 3,29",2020-05-28 16:20:52+00,2020-06-15 10:46:47+00
87,17,ETANOL,"R$ 3,20",2020-05-13 12:06:29+00,2020-07-13 00:21:49+00
84,15,ETANOL,"R$ 3,20",2020-05-13 12:06:29+00,2020-07-13 00:21:49+00
95,20,ETANOL,"R$ 3,20",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
482,173,OLEO DIESEL B S10 ADTIVADO,"R$ 3,08",2020-05-21 21:31:02+00,2020-06-15 10:16:49+00
73,1,ETANOL,"R$ 3,20",2020-05-11 12:06:29+00,2020-07-13 00:21:49+00
143,82,ETANOL,"R$ 3,23",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
690,216,ETANOL,"R$ 3,29",2020-05-28 13:20:51+00,2020-06-19 10:46:48+00
751,75,DIESEL COMUM BICO,"R$ 3,16",2020-05-27 03:31:59+00,2020-07-08 05:26:39+00
886,280,DIESEL S,"R$ 3,58",2020-06-04 06:05:34+00,2020-07-08 05:26:39+00
694,149,ETANOL,"R$ 3,29",2020-05-28 13:20:52+00,2020-06-19 10:46:48+00
696,218,ETANOL,"R$ 3,29",2020-05-28 13:20:52+00,2020-06-19 10:46:48+00
478,170,OLEO DIESEL S,"R$ 2,99",2020-05-21 21:31:01+00,2020-06-12 10:16:49+00
703,152,ETANOL,"R$ 3,29",2020-05-28 13:20:52+00,2020-06-19 10:46:48+00
