id,nome,endereco,contato,status,cidade,latitude,longitude,url,bandeira,created_at,updated_at
16,POSTO TOMBA,"RUA PAPA JOAO XXIII 104 TOMBA 44090652, FEIRA DE SANTANA",7536124200,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2853038,-38.9580068,https://goo.gl/maps/1LRwShkVGuJPuMvD7,petrobras,2020-05-15 18:06:15+00,2020-05-18 17:14:12+00
17,POSTO IGUATEMI,"AVENIDA JOAO D. CARNEIRO 3600 CORONEL JOSE PINTO 44037010, FEIRA DE SANTANA",,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2408081,-38.9485748,https://goo.gl/maps/AMGRiw61HBoirhUh7,menor,2020-05-15 18:06:15+00,2020-05-18 17:15:29+00
40,POSTO SHALOM,"AVENIDA EDUARDO FROES DA MOTA 1500 LAGOA GRANDE 44042260, FEIRA DE SANTANA",7536254250,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2592397,-38.9338867,https://goo.gl/maps/zDkousUMGKKKsmfL6,shell,2020-05-15 18:06:15+00,2020-05-18 18:47:07+00
41,POSTO VISAO,"AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO 2830 CASEB 44052004, FEIRA DE SANTANA",7132715277,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2486871 ,-38.9482772,https://goo.gl/maps/qJnUsjerSBaTrpPa9,shell,2020-05-15 18:06:15+00,2020-05-18 18:51:41+00
45,Posto Aliança,"RUA LANDULFO ALVES 1141 CENTRO 44001496, FEIRA DE SANTANA",7530223440,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2361184,-38.9785202,https://goo.gl/maps/7NfU3gNPkEdfQ1d37,outros,2020-05-15 18:06:15+00,2020-05-18 19:07:08+00
46,POSTO TREVO,"AVENIDA AV. PRESIDENTE DUTRA 2325 BRASILIA 44088455, FEIRA DE SANTANA",7536238033,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2654221,-38.9473393,https://goo.gl/maps/tBd4BcdgEXPUEoGi7,petrobras,2020-05-15 18:06:15+00,2020-05-18 19:08:29+00
47,POSTO CANAL,"RUA JOAO EVANGELISTA 563 CENTRO 44002865, FEIRA DE SANTANA",7532715277,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2560175,-38.9762617,https://goo.gl/maps/QKkj48UAJQbCom9fA,shell,2020-05-15 18:06:15+00,2020-05-18 19:10:51+00
79,POSTO JP,"AVENIDA FRANCISCO FRAGA MAIA 5280 MANGABEIRA 44056232, FEIRA DE SANTANA",7532244450,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2205884,-38.9536454,https://goo.gl/maps/ajMizNQqFdW9buHC8,outros,2020-05-15 18:06:30+00,2020-05-18 20:11:43+00
80,POSTO FRAGA MAIA,"AVENIDA FRAGA MAIA 4230 CIDADE NOVA 44053055, FEIRA DE SANTANA",7530230398,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2285601,-38.955971,https://goo.gl/maps/LTC1f2GUw9iEew327,ipiranga,2020-05-15 18:06:30+00,2020-05-18 20:12:53+00
81,POSTO SANTA FE,"AVENIDA ANTONIO SERGIO CARNEIRO 1210 SANTO ANTONIO DOS PRAZERES 44071270, FEIRA DE SANTANA",7536226721,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2389556,-38.9226122,https://goo.gl/maps/LTC1f2GUw9iEew327,outros,2020-05-15 18:06:30+00,2020-05-18 20:14:29+00
83,POSTO PRESIDENTE,"AVENIDA PRESIDENTE DUTRA 1199 CAPUCHINHOS 44060000, FEIRA DE SANTANA",7536038797,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2604377,-38.9544905,https://goo.gl/maps/sVzVugZe2ah2uoR38,petrobras,2020-05-15 18:06:30+00,2020-05-18 20:16:17+00
84,POSTO PAMPALONA,"RUA PRIMAVERA 3690 PAMPALONA 44031090, FEIRA DE SANTANA",07536265535,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,,,,outros,2020-05-15 18:06:30+00,2020-05-18 20:18:00+00
85,POSTO JUBIABA,"AVENIDA DEPUTADO LUIS EDUARDO MAGALHAES S/N SUBAÉ 44079002, FEIRA DE SANTANA",07521023500,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.27939,-38.9220057,https://goo.gl/maps/kvFYch8HUBd5Tq1G8,outros,2020-05-15 18:06:30+00,2020-05-18 20:19:34+00
86,Posto Amazonas,"AVENIDA VISCONDE DO RIO BRANCO 825 CENTRO 44026000, FEIRA DE SANTANA",7532219492,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2490447,-38.963822,https://goo.gl/maps/P7GGjRaDoQ53G58K6,outros,2020-05-15 18:06:30+00,2020-05-18 20:21:08+00
